Go.	Va !
I just can't figure it out.	Je n'arrive simplement pas à me le figurer.
I just changed my password.	Je viens de changer mon mot de passe.
I just changed my password.	Je n'ai fait que changer mon mot de passe.
I just changed my password.	J'ai seulement changé mon mot de passe.
I just don't like football.	Je n'aime simplement pas le football.
I just don't understand it.	Je ne le comprends pas, un point c'est tout.
I just don't understand it.	Je ne le comprends tout simplement pas.
I just fainted. That's all.	Je me suis simplement évanoui. C'est tout.
I just fainted. That's all.	Je me suis simplement évanouie. C'est tout.
I just feel a little dizzy.	Je me sens juste un peu étourdi.
I just feel a little dizzy.	Je me sens juste un peu étourdie.
I just feel a little dizzy.	Je me sens juste un peu pris de vertiges.
I just feel a little dizzy.	Je me sens juste un peu prise de vertiges.
I just feel a little dizzy.	Je sens juste que j'ai un peu la tête qui tourne.
I just felt a drop of rain.	Je viens de sentir une goutte de pluie.
I just followed the recipe.	Je n'ai fait que suivre la recette.
I just followed the recipe.	Je m'en suis tenu à la recette.
I just followed the recipe.	Je m'en suis tenue à la recette.
I just found out last week.	Je viens de le découvrir la semaine dernière.
I just got my first tattoo.	Je viens de me faire faire mon premier tatouage.
I just got my first tattoo.	Je viens d'obtenir ma première parade militaire.
I just have to make a call.	Il faut juste que je passe un appel.
I just have to make a call.	Il faut juste que je donne un coup de fil.
I just need you to help me.	J'ai juste besoin que tu m'aides.
I just sat there and cried.	Je me suis juste assis là et pleuré.
I just saw a shooting star.	Je viens de voir une étoile filante.
I just signed the contract.	Je viens juste de signer le contrat.
I just want to be near you.	Je veux simplement être auprès de toi.
I just want to be near you.	Je veux simplement être auprès de vous.
I just want to be prepared.	Je veux être prêt, un point c'est tout.
I just want to be prepared.	Je veux être prête, un point c'est tout.
I just want to be prepared.	Je veux tout simplement être prêt.
I just want to be prepared.	Je veux tout simplement être prête.
I just want to get married.	Je veux simplement me marier.
I just want to get married.	Je veux me marier, un point c'est tout.
I just want to talk to you.	Je veux simplement te parler.
I just want to talk to you.	Je veux simplement vous parler.
I just want you to be safe.	Je veux juste que vous soyez en sécurité.
I just want you to be safe.	Je veux juste que tu sois en sécurité.
I just wanted to apologize.	Je voulais juste m'excuser.
I just wanted to say hello.	Je voulais juste dire bonjour.
I kept hoping I'd meet Tom.	J'espérais rencontrer Tom.
I kind of anticipated that.	Je l'avais, en quelque sorte, anticipé.
I knew Tom would like Mary.	Je savais que Tom aimerait Mary.
I knew exactly what it was.	Je savais exactement ce que c'était.
I knew it was time to stop.	Je savais qu'il était temps d'arrêter.
I knew it would be painful.	Je savais que ce serait douloureux.
I knew that he was reading.	Je savais qu'il lisait.
I knew this day was coming.	Je savais que ce jour était en train d'advenir.
I knew this day would come.	Je savais que ce jour viendrait.
I knew this was a bad idea.	Je savais que c'était une mauvaise idée.
I knew we forgot something.	Je savais que nous oubliions quelque chose.
I knew who my enemies were.	Je savais qui étaient mes ennemis.
I knew who my enemies were.	J'ai su qui étaient mes ennemis.
I know Tom is ambidextrous.	Je sais que Tom est ambidextre.
I know Tom knows something.	Je sais que Tom sait quelque chose.
I know Tom likes to travel.	Je sais que Tom aime voyager.
I know as little as you do.	J'en sais aussi peu que toi.
I know as little as you do.	J'en sais aussi peu que vous.
I know he likes jazz music.	Je sais qu’il aime le jazz.
I know it's a lot of money.	Je sais que c'est beaucoup d'argent.
I know it's not impossible.	Je sais que ce n'est pas impossible.
I know nothing about music.	Je ne connais rien à la musique.
I know some of these girls.	Je connais certaines de ces filles.
I know something you don't.	Je sais quelque chose que tu ignores.
I know something you don't.	Je sais quelque chose que tu ne sais pas.
I know something you don't.	Je sais quelque chose que vous ignorez.
I know something you don't.	Je sais quelque chose que vous ne savez pas.
I know that Tom is serious.	Je sais que Tom est sérieux.
I know that Tom likes jazz.	Je sais que Tom aime le jazz.
I know they're still alive.	Je sais qu'ils sont toujours en vie.
I know what my choices are.	Je sais quels sont mes choix.
I know what you want to do.	Je sais ce que tu veux faire.
I know what you want to do.	Je sais ce que vous voulez faire.
I know what you were doing.	Je sais ce que tu faisais.
I know what you were doing.	Je sais ce que vous faisiez.
I know what you were doing.	Je sais ce que tu étais en train de faire.
I know what you were doing.	Je sais ce que vous étiez en train de faire.
I know when I'm not wanted.	Je sais lorsque je suis indésirable.
I learned French in school.	J'ai appris le français à l'école.
I leave for Paris tomorrow.	Je pars pour Paris demain.
I left my card in the room.	J'ai laissé ma carte dans la chambre.
I left my hat on the plane.	J'ai laissé mon chapeau dans l'avion.
I left my phone in the car.	J'ai laissé mon téléphone dans la voiture.
I left my umbrella at home.	J'ai laissé mon parapluie à la maison.
I left my umbrella at home.	J'ai laissé mon parapluie chez moi.
I left the party too early.	J'ai quitté la fête trop tôt.
I like cooking and reading.	J’aime faire la cuisine et lire.
I like figuring things out.	J'aime comprendre les choses.
I like going to the movies.	J'aime aller au cinéma.
I like having plenty to do.	J'aime avoir beaucoup à faire.
I like it when you do that.	J'apprécie que tu fasses ça.
I like it when you do that.	J'aime que tu fasses ça.
I like it when you do that.	J'aime que vous fassiez ça.
I like it when you do that.	J'apprécie que vous fassiez ça.
I like playing with my dog.	J'aime jouer avec mon chien.
I like seeing you this way.	J'aime vous voir ainsi.
I like seeing you this way.	J'aime te voir ainsi.
I like the way that smells.	J'aime l'odeur que ça a.
I like the way this tastes.	J'aime le goût que ça a.
I like this city very much.	J'aime beaucoup cette ville.
I like to feed the pigeons.	J'aime nourrir les pigeons.
I like to travel by myself.	J'aime voyager seul.
I like to walk in the rain.	J'aime marcher sous la pluie.
I like wearing old clothes.	J'aime porter de vieux vêtements.
I like wearing old clothes.	J'aime porter de vieux habits.
I like what you've written.	J'aime ce que vous avez écrit.
I like what you've written.	J'aime ce que tu as écrit.
I like what you've written.	J'apprécie ce que vous avez écrit.
I like your new hair color.	J'aime ta nouvelle couleur de cheveux.
I like your new hair color.	J'aime votre nouvelle couleur de cheveux.
I liked this striped shirt.	J'aimais cette chemise rayée.
I listen to jazz sometimes.	J'écoute parfois du jazz.
I listen to jazz sometimes.	J'écoute du jazz, parfois.
I live pretty close to Tom.	Je vis assez proche de chez Tom.
I lost my health insurance.	J'ai perdu ma couverture santé.
I lost my shoe in the fire.	J'ai perdu ma chaussure dans l'incendie.
I lost my travelers checks.	J'ai perdu mes chèques de voyage.
I lost my way in the woods.	J'ai perdu mon chemin dans les bois.
I lost no time in doing it.	Je n'ai pas perdu de temps à le faire.
I lost sight of my friends.	J'ai perdu de vue mes amis.
I lost sight of my friends.	J'ai perdu mes amis de vue.
I love going to the movies.	J’adore aller au cinéma.
I love jokes about animals.	J'adore les blagues sur les animaux.
I love jokes about animals.	J'adore les plaisanteries à propos des animaux.
I love my mother very much.	J'aime beaucoup ma mère.
I love seeing you so happy.	J'adore vous voir aussi heureuse.
I love seeing you so happy.	J'adore vous voir aussi heureuses.
I love seeing you so happy.	J'adore te voir aussi heureuse.
I love seeing you so happy.	J'adore vous voir aussi heureux.
I love seeing you so happy.	J'adore te voir aussi heureux.
I love to go to the movies.	J’adore aller au cinéma.
I love what I'm doing here.	J'adore ce que je fais ici.
I love what you're wearing.	J'adore ce que vous portez.
I love what you're wearing.	J'adore ce que tu portes.
I love you for who you are.	Je t'aime pour ce que tu es.
I love you for who you are.	Je vous aime pour ce que vous êtes.
I love you just as you are.	Je t'aime juste comme tu es.
I love you just as you are.	Je t'aime exactement comme tu es.
I love you the best of all.	C'est toi que, de tous, j'aime le plus.
I love you the best of all.	C'est toi que, de toutes, j'aime le plus.
I love you the best of all.	C'est vous que, de tous, j'aime le plus.
I love you the best of all.	C'est vous que, de toutes, j'aime le plus.
I loved going to the beach.	J'aimais aller à la plage.
I loved watching you dance.	J'ai adoré te regarder danser.
I loved watching you dance.	J'ai adoré vous regarder danser.
I made a few modifications.	J'ai apporté quelques modifications.
I made him change his plan.	Je l'ai amené à changer son plan.
I made him sweep the floor.	Je lui ai fait balayer le sol.
I maxed out my credit card.	J'ai épuisé ma carte de crédit.
I maxed out my credit card.	J'ai explosé ma carte de crédit.
I may be overthinking this.	Il se peut que j'y accorde trop de réflexions.
I may not have enough time.	Il se peut que je n'aie pas assez de temps.
I may not have enough time.	Il se peut que je n'aie pas suffisamment de temps.
I met a lot of nice people.	J'ai rencontré plein de gens sympas.
I met her at Tokyo Station.	Je l'ai rencontrée à la gare de Tokyo.
I met his sister last week.	J'ai rencontré sa sœur la semaine dernière.
I met my friends yesterday.	J'ai rencontré mes amis hier.
I met your father just now.	Je viens de rencontrer ton père à l'instant.
I must brush up my English.	Il faut que je révise mon anglais.
I must brush up my English.	Je dois renforcer mon niveau en anglais.
I must get a new suit made.	Il faut que je me fasse faire un nouveau costume.
I must have made a mistake.	J'ai dû faire une erreur.
I must have made a mistake.	J'ai dû commettre une erreur.
I must remember to see her.	Il faut que je pense à aller la voir.
I must've missed something.	J'ai dû louper quelque chose.
I need 30 more days to pay.	J'ai besoin de trente jours de plus pour payer.
I need a bigger frying pan.	J'ai besoin d'une plus grande poêle à frire.
I need a bigger frying pan.	J'ai besoin d'une poêle à frire plus grande.
I need a few minutes alone.	J'ai besoin d'être seul, quelques minutes.
I need a few minutes alone.	J'ai besoin d'être seule, quelques minutes.
I need a five-minute break.	J'ai besoin d'une pause de cinq minutes.
I need a little more space.	J'ai besoin d'un peu plus d'espace.
I need a more detailed map.	J'ai besoin d'une carte plus détaillée.
I need a new pair of shoes.	J'ai besoin d'une nouvelle paire de chaussures.
I need nine hours of sleep.	J'ai besoin de neuf heures de sommeil.
I need the following items.	J'ai besoin des choses suivantes.
I need to call the embassy.	Il faut que j'appelle l'ambassade.
I need to go eat something.	Je dois aller manger quelque chose.
I need to go milk the cows.	Je dois aller traire les vaches.
I need to go milk the cows.	Il me faut aller traire les vaches.
I need to know by tomorrow.	J'ai besoin de savoir pour demain.
I need to know who you are.	Je dois savoir qui vous êtes.
I need to know who you are.	Je dois savoir qui tu es.
I need to lose five pounds.	Il faut que je perde cinq livres.
I need to lose some weight.	Il me faut perdre un peu de poids.
I need to make a few calls.	Il me faut passer quelques appels.
I need to press the button.	Il me faut appuyer sur le bouton.
I need to press the button.	Il faut que j'appuie sur le bouton.
I need to renew my ID card.	Je dois faire renouveler ma carte d'identité.
I need you to come with me.	J'ai besoin que tu viennes avec moi.
I need you to come with me.	J'ai besoin que vous veniez avec moi.
I never did like it anyway.	Je ne l'ai jamais apprécié, de toutes façons.
I never felt like I fit in.	Je n'ai jamais eu l'impression d'être à ma place.
I never mentioned it again.	Je ne l'ai plus jamais mentionné.
I never really knew my dad.	Je n'ai jamais vraiment connu mon père.
I never received the money.	Je n'ai jamais reçu l'argent.
I never should've left you.	Je n'aurais jamais dû te quitter.
I never should've left you.	Je n'aurais jamais dû vous quitter.
I never stopped loving you.	Je t’ai toujours aimé.
I never stopped loving you.	Je t’ai toujours aimée.
I never suspected anything.	Je n'ai jamais rien suspecté.
I never thought about that.	Je n'y ai jamais pensé.
I never thought about that.	Je n'y ai jamais songé.
I never wanted to harm you.	Je n'ai jamais voulu te faire de mal.
I never wanted to harm you.	Je n'ai jamais voulu vous faire de mal.
I never wanted to hurt you.	Je n'ai jamais voulu te faire de mal.
I never wanted to hurt you.	Je n'ai jamais voulu te blesser.
I no longer live in Boston.	Je n’habite plus à Boston.
I now know this isn't true.	Je sais maintenant que ceci n'est pas vrai.
I often sing in the shower.	Je chante souvent sous la douche.
I only have one suggestion.	Je n'ai qu'une suggestion.
I own some very old stamps.	Je possède quelques très vieux timbres.
I paid five dollars to him.	Je lui ai payé 5 dollars.
I passed on the job to him.	Je lui ai transféré le boulot.
I plan to go to the movies.	Je compte aller au cinéma.
I play bass in a jazz band.	Je joue de la basse dans un groupe de jazz.
I play golf every so often.	Je joue au golf de temps en temps.
I pointed my camera at her.	J'ai pointé mon appareil photo sur elle.
I prefer doing it this way.	Je préfère le faire de cette façon.
I prefer red wine to white.	Je préfère le vin rouge au blanc.
I prefer riding to walking.	Je préfère conduire à marcher.
I promised not to tell him.	Je lui ai promis de ne pas le lui dire.
I put my coat on the table.	Je mis mon manteau sur la table.
I rarely talk on the phone.	Je ne téléphone que rarement.
I read a book while eating.	J'ai lu un livre en mangeant.
I really am very busy, Tom.	Je suis vraiment débordé Tom.
I really am very busy, Tom.	Je suis vraiment débordée Tom.
I really can't accept this.	Je ne peux vraiment pas accepter ça.
I really do like Christmas.	J'aime vraiment Noël.
I really do need your help.	J'ai vraiment besoin de ton aide.
I really do need your help.	J'ai vraiment besoin de votre aide.
I really have to get going.	Il me faut vraiment m'en aller.
I really hope you can come.	J'espère vraiment que tu puisses venir.
I really hope you can come.	J'espère vraiment que vous puissiez venir.
I really hope you're right.	J'espère vraiment que tu aies raison.
I really hope you're right.	J'espère vraiment que vous ayez raison.
I really like my coworkers.	J'aime vraiment mes collègues.
I really regret doing that.	Je regrette vraiment d'avoir fait ça.
I really shouldn't do this.	Je ne devrais vraiment pas faire cela.
I really trust his ability.	J'ai vraiment confiance en son talent.
I really want a motorcycle.	Je veux vraiment une moto.
I really want to thank you.	Je veux vraiment vous remercier.
I really want to thank you.	Je veux vraiment te remercier.
I remember seeing him once.	Je me souviens l'avoir vu une fois.
I remember seeing him once.	Je me rappelle l'avoir vu une fois.
I rent a room by the month.	Je loue une chambre au mois.
I returned his book to him.	Je lui ai rendu son livre.
I said nothing of the sort.	Je n'ai rien dit de tel.
I said that I was confused.	J'ai dit que j'étais désorienté.
I said that I was confused.	J'ai dit que j'étais perdue.
I said there's no one here.	J'ai dit qu'il n'y avait personne ici.
I saw a fly on the ceiling.	Je vis une mouche au plafond.
I saw a little boy running.	Je vis un petit garçon courir.
I saw a man enter the room.	J'ai vu un homme entrer dans la chambre.
I saw her a week ago today.	Je l'ai vue il y a aujourd'hui une semaine.
I saw him cross the street.	Je l'ai vu traverser la route.
I saw him cross the street.	Je l'ai vu traverser la rue.
I saw him cross the street.	Je le vis traverser la route.
I saw him playing baseball.	Je l'ai vu jouer au baseball.
I saw him with my own eyes.	Je l'ai vu de mes propres yeux.
I saw his mother scold him.	J'ai vu sa mère le gronder.
I saw land in the distance.	J'ai vu le rivage au loin.
I saw my friends yesterday.	J'ai vu mes amis hier.
I saw myself in the mirror.	Je me suis vu dans le miroir.
I saw people wearing jeans.	J'ai vu des gens qui portaient des jeans.
I saw that Tom was smiling.	J'ai vu que Tom souriait.
I see life differently now.	Désormais, je vois la vie autrement.
I see you've made a friend.	Je vois que tu t'es fait un ami.
I see you've made a friend.	Je vois que tu t'es fait une amie.
I see you've made a friend.	Je vois que vous vous êtes fait un ami.
I see you've made a friend.	Je vois que vous vous êtes fait une amie.
I should get back upstairs.	Je devrais retourner à l'étage.
I should have come earlier.	J'aurais dû venir plus tôt.
I should have left earlier.	J'aurais dû partir plus tôt.
I should have studied more.	J'aurais dû étudier davantage.
I should have told someone.	J'aurais dû le dire à quelqu'un.
I should've paid attention.	J'aurais dû faire attention.
I shouldn't have done that.	Je n'aurais pas dû faire ça.
I shouldn't have done this.	Je n'aurais pas dû faire ceci.
I slept in front of the TV.	J'ai dormi devant la télé.
I slept with my clothes on.	J'ai dormi avec mes vêtements.
I slept with my clothes on.	J'ai dormi avec mes vêtements sur moi.
I slept with the light off.	J'ai dormi avec la lumière éteinte.
I smiled and waved at them.	Je leur ai souri et leur ai fait des signes de la main.
I speak French and English.	Je parle français et anglais.
I started reading the book.	Je me mis à lire le livre.
I study Chinese in Beijing.	J'étudie le mandarin, à Pékin.
I suggest we all calm down.	Je suggère que nous nous calmions tous.
I suggest we all calm down.	Je suggère que nous nous calmions toutes.
I suggest you get a lawyer.	Je vous suggère d'engager un avocat.
I suggest you get a lawyer.	Je te conseille de prendre un avocat.
I suppose I'd better leave.	Je suppose que je ferais mieux de partir.
I suppose he's got a point.	Je suppose qu'il a raison.
I suppose that's all right.	Je suppose que c'est bon.
I suppose that's all right.	Je suppose que ça va.
I suppose we could do that.	Je suppose que nous pourrions le faire.
I swear it's the last time.	Je jure que c'est la dernière fois.
I then began to understand.	J’ai alors commencé à comprendre.
I think I can arrange that.	Je pense pouvoir arranger cela.
I think I'm going to faint.	Je pense que je vais m'évanouir.
I think I'm losing my mind.	Je pense que je perds l'esprit.
I think I'm ready to leave.	Je pense que je suis prêt à partir.
I think I'm ready to leave.	Je pense que je suis prête à partir.
I think I've broken my arm.	Je pense que je me suis cassé le bras.
I think I've persuaded Tom.	Je crois que j'ai convaincu Tom.
I think Tom is a nice name.	Je pense que Tom est un joli nom.
I think Tom is incompetent.	Je pense que Tom est incompétent.
I think Tom is still alive.	Je pense que Tom est encore en vie.
I think Tom needs stitches.	Je pense que Tom a besoin de points de suture.
I think Tom wanted my help.	Je pense que Tom voulait mon aide.
I think Tom wants our help.	Je pense que Tom veut notre aide.
I think about it every day.	J'y pense tous les jours.
I think everybody's hungry.	Je pense que tout le monde a faim.
I think he'll never return.	Je pense qu'il ne reviendra plus jamais.
I think he's an honest man.	Je pense qu'il est honnête homme.
I think it just might work.	Je pense que ça pourrait fonctionner.
I think it was an accident.	Je pense que c'était un accident.
I think it's a possibility.	Je pense que c'est une possibilité.
I think it's all right now.	Je pense que c'est bon à présent.
I think it's going to rain.	Je pense qu'il va pleuvoir.
I think it's going to rain.	Je crois qu'il va pleuvoir.
I think it's time to begin.	Je pense qu'il est l'heure de commencer.
I think it's time to leave.	Je pense qu'il est temps de partir.
I think it's time to leave.	Je pense que c'est l'heure de partir.
I think it's very romantic.	Je pense que c'est très romantique.
I think love doesn't exist.	Je pense que l'amour n'existe pas.
I think maybe Tom needs me.	Je pense que Tom a besoin de moi.
I think maybe we should go.	Je pense qu'on devrait y aller.
I think of you as a friend.	Je pense à toi en tant qu'ami.
I think of you as a friend.	Je pense à vous en tant qu'ami.
I think of you as a friend.	Je pense à toi en tant qu'amie.
I think of you as a friend.	Je pense à vous en tant qu'amie.
I think she's 40 years old.	Je pense qu'elle a 40 ans.
I think something is wrong.	Je pense qu'il y a quelque chose qui cloche.
I think that might be wise.	Je pense que ce serait sage.
I think that would be best.	Je pense que ce serait le mieux.
I think that would be nice.	Je pense que ce serait sympa.
I think that would be wise.	Je pense que ce serait sage.
I think that's a good idea.	Je pense que c'est une bonne idée.
I think that's a good idea.	Je pense que c'est une riche idée.
I think that's a good plan.	Je pense que c'est un bon plan.
I think that's a good sign.	Je pense que c'est un bon signe.
I think that's the problem.	Je crois que c'est le problème.
I think they went this way.	Je pense qu'ils sont allés dans cette direction.
I think they went this way.	Je pense qu'elles sont allées dans cette direction.
I think this is a bad idea.	Je pense que c'est une mauvaise idée.
I think this isn't correct.	Je pense que ceci n'est pas correct.
I think those are the best.	Je pense que ceux-ci sont les meilleurs.
I think those are the best.	Je pense que celles-ci sont les meilleures.
I think we can handle that.	Je pense que nous pouvons gérer cela.
I think we can handle that.	Je pense que nous pouvons le gérer.
I think we can handle this.	Je pense que nous pouvons gérer ça.
I think we need more water.	Je pense que nous avons besoin de plus d'eau.
I think we need more water.	Je pense qu'il nous faut davantage d'eau.
I think we should break up.	Je pense que nous devrions nous séparer.
I think we should break up.	Je pense que nous devrions rompre.
I think we should call Tom.	Je pense que nous devrions appeler Tom.
I think we should hire Tom.	Je pense que nous devrions engager Tom.
I think we should sit down.	Je pense que nous devrions nous asseoir.
I think we should stop now.	Je pense que nous devrions arrêter, maintenant.
I think we should stop now.	Je pense que nous devrions cesser, maintenant.
I think we'll be safe here.	Je pense que nous serons ici en sécurité.
I think we're going to win.	Je pense que nous allons gagner.
I think we're pretty lucky.	Je pense que nous avons pas mal de chance.
I think you did a good job.	Je pense que vous avez fait du bon boulot.
I think you did a good job.	Je pense que tu as fait du bon boulot.
I think you knew my father.	Je pense que tu connaissais mon père.
I think you knew my father.	Je pense que vous connaissiez mon père.
I think you need some rest.	Je pense que tu as besoin de repos.
I think you need some rest.	Je pense que vous avez besoin de repos.
I think you really mean it.	Je pense que vous êtes sérieux.
I think you should ask Tom.	Je pense que tu devrais demander à Tom.
I think you'd better leave.	Je pense que vous feriez mieux de partir.
I think you'd better leave.	Je pense que tu ferais mieux de partir.
I think you're interesting.	Je pense que tu es intéressant.
I think you're interesting.	Je pense que tu es intéressante.
I think you're interesting.	Je pense que vous êtes intéressant.
I think you're interesting.	Je pense que vous êtes intéressante.
I think you're interesting.	Je pense que vous êtes intéressants.
I think you're interesting.	Je pense que vous êtes intéressantes.
I think you've done enough.	Je pense que tu en as fait assez.
I think you've done enough.	Je pense que vous en avez fait assez.
I thought I had everything.	Je pensais tout avoir.
I thought I had until 2:30.	Je pensais que j'avais jusqu'à deux heures et demie.
I thought I recognized Tom.	Je pensais avoir reconnu Tom.
I thought I recognized you.	Je pensais vous avoir reconnu.
I thought I recognized you.	Je pensais t'avoir reconnu.
I thought I recognized you.	Je pensais vous avoir reconnue.
I thought I recognized you.	Je pensais vous avoir reconnus.
I thought I recognized you.	Je pensais vous avoir reconnues.
I thought I recognized you.	Je pensais t'avoir reconnue.
I thought I was alone here.	Je pensais que j'étais seul ici.
I thought I was alone here.	Je pensais que j'étais seule, ici.
I thought I was alone here.	Je pensais être seul, ici.
I thought I was alone here.	Je pensais être seule, ici.
I thought I'd be safe here.	Je pensais que je serais en sécurité ici.
I thought I'd be safe here.	Je pensais être en sécurité, ici.
I thought I'd surprise you.	Je pensais que je te surprendrais.
I thought I'd surprise you.	Je pensais que je vous surprendrais.
I thought I'd surprise you.	Je pensais vous surprendre.
I thought I'd surprise you.	Je pensais te surprendre.
I thought Tom didn't drink.	Je pensais que Tom ne buvait pas.
I thought Tom was Canadian.	Je pensais que Tom était Canadien.
I thought Tom was a doctor.	Je pensais que Tom était médecin.
I thought Tom was a farmer.	Je pensais que Tom était fermier.
I thought Tom was bluffing.	Je pensais que Tom bluffait.
I thought Tom was sleeping.	Je pensais que Tom dormait.
I thought Tom was with you.	Je pensais que Tom était avec toi.
I thought Tom was with you.	Je pensais que Tom était avec vous.
I thought Tom wouldn't win.	Je pensais que Tom ne gagnerait pas.
I thought he wouldn't come.	Je pensais qu'il ne viendrait pas.
I thought it was hilarious.	Je pensai que c'était hilarant.
I thought it was hilarious.	J'ai pensé que c'était hilarant.
I thought it was lunchtime.	Je pensais qu'il était l'heure de déjeuner.
I thought it'd be worth it.	Je pensais que ça en vaudrait la peine.
I thought that he was rich.	Je pensais qu'il était riche.
I thought that was obvious.	Je pensais que c'était évident.
I thought we had more time.	Je pensais que nous disposions de davantage de temps.
I thought you had homework.	Je pensais que tu avais des devoirs.
I thought you had homework.	Je pensais que vous aviez des devoirs.
I thought you needed money.	Je pensais que tu avais besoin d'argent.
I thought you needed money.	Je pensais que vous aviez besoin d'argent.
I thought you needed money.	J'ai pensé que vous aviez besoin d'argent.
I thought you needed money.	J'ai pensé que tu avais besoin d'argent.
I thought you were at work.	Je pensais que tu étais au travail.
I thought you were at work.	Je pensais que vous étiez au travail.
I thought you were injured.	Je pensais que tu étais blessé.
I thought you were injured.	Je pensais que tu étais blessée.
I thought you were injured.	J'ai pensé que tu étais blessé.
I thought you were injured.	J'ai pensé que tu étais blessée.
I thought you were injured.	J'ai pensé que vous étiez blessé.
I thought you were injured.	J'ai pensé que vous étiez blessée.
I thought you were injured.	J'ai pensé que vous étiez blessés.
I thought you were injured.	J'ai pensé que vous étiez blessées.
I thought you were injured.	Je pensais que vous étiez blessé.
I thought you were injured.	Je pensais que vous étiez blessée.
I thought you were injured.	Je pensais que vous étiez blessés.
I thought you were injured.	Je pensais que vous étiez blessées.
I thought you were kidding.	Je pensais que tu plaisantais.
I thought you were kidding.	Je pensais que vous plaisantiez.
I thought you were kidding.	J'ai pensé que vous plaisantiez.
I thought you were kidding.	J'ai pensé que tu plaisantais.
I thought you were serious.	Je pensais que tu étais sérieux.
I thought you were serious.	J'ai pensé que tu étais sérieux.
I thought you were serious.	Je pensais que vous étiez sérieux.
I thought you were serious.	J'ai pensé que vous étiez sérieux.
I thought you were serious.	Je pensais que vous étiez sérieuse.
I thought you were serious.	J'ai pensé que vous étiez sérieuse.
I thought you were serious.	J'ai pensé que vous étiez sérieuses.
I thought you were serious.	Je pensais que vous étiez sérieuses.
I thought you were serious.	J'ai pensé que tu étais sérieuse.
I thought you were serious.	Je pensais que tu étais sérieuse.
I thought you were working.	Je pensais que tu travaillais.
I thought you were working.	Je pensais que vous travailliez.
I thought you were working.	J'ai pensé que tu travaillais.
I thought you were working.	J'ai pensé que vous travailliez.
I thought you'd be pleased.	Je pensais que vous seriez satisfait.
I thought you'd be pleased.	Je pensais que vous seriez satisfaite.
I thought you'd be pleased.	Je pensais que vous seriez satisfaits.
I thought you'd be pleased.	Je pensais que vous seriez satisfaites.
I thought you'd be pleased.	Je pensais que tu serais satisfait.
I thought you'd be pleased.	Je pensais que tu serais satisfaite.
I thought you'd enjoy this.	J'ai pensé que tu apprécierais ceci.
I thought you'd enjoy this.	Je pensais que vous apprécieriez ceci.
I thought you'd enjoy this.	J'ai pensé que vous aimeriez ceci.
I thought you'd never call.	Je pensais ne jamais vous avoir.
I thought you'd understand.	Je pensais que vous comprendriez.
I thought you'd understand.	Je pensais que tu comprendrais.
I told Tom we were friends.	J'ai dit à Tom que nous étions amis.
I took Tom to the hospital.	J'ai emmené Tom à l'hôpital.
I took a day off last week.	J'ai pris un jour de congé la semaine dernière.
I took another sip of wine.	J'ai pris une autre gorgée de vin.
I took her for an American.	Je l'ai prise pour une Américaine.
I took him a cup of coffee.	J'ai pris une tasse de café pour lui.
I took part in the contest.	Je pris part au concours.
I took part in the contest.	J'ai pris part à la compétition.
I tore my jacket on a nail.	J'ai déchiré ma veste sur un clou.
I treat everybody the same.	Je traite tout le monde de la même manière.
I tried but didn't succeed.	J'ai essayé, mais sans succès.
I tried in vain to open it.	J'ai essayé en vain de l'ouvrir.
I tried to fulfill my duty.	J'ai essayé d'accomplir mon devoir.
I try not to bother anyone.	J'essaie de ne pas déranger qui que ce soit.
I turned to him for advice.	Je lui ai demandé conseil.
I understand the situation.	Je comprends la situation.
I understand what you mean.	Je comprends ce que tu veux dire.
I understand what you mean.	Je vois ce que tu veux dire.
I understand your feelings.	Je comprends tes sentiments.
I understand your feelings.	Je comprends vos sentiments.
I understand your language.	Je comprends votre langue.
I used to collect coasters.	Je collectionnais les dessous de verre.
I used to do that as a kid.	Je faisais ça, enfant.
I used to do that as a kid.	Enfant, je faisais ça.
I used to do that as a kid.	Enfant, je le faisais.
I used to do that as a kid.	Je le faisais, enfant.
I used to live near a park.	Je vivais près d'un parc.
I used to live near a park.	J'habitais près d'un parc.
I usually don't wear a tie.	Je ne porte habituellement pas de cravate.
I usually go to bed at ten.	En général je vais me coucher à dix heures.
I waited for a bus to come.	J'ai attendu l'arrivée du bus.
I walk to school every day.	Je marche jusqu'à l'école tous les jours.
I walked across the street.	Je traversai la rue.
I want a dozen cream puffs.	Je voudrais une douzaine de choux à la crème.
I want a dozen cream puffs.	J'aimerais une douzaine de choux à la crème.
I want a kitchen like this.	Je veux une cuisine comme ça.
I want a personal computer.	Je veux un ordinateur individuel.
I want more days like this.	Je veux davantage de journées telles que celle-ci.
I want somebody to talk to.	J'aimerais quelqu'un avec qui parler.
I want those kids to leave.	Je veux que ces gosses se taillent.
I want to be here with you.	Je veux être ici avec toi.
I want to be here with you.	Je veux être là avec toi.
I want to be here with you.	Je veux être ici avec vous.
I want to be here with you.	Je veux être là avec vous.
I want to buy a dozen eggs.	Je veux acheter une douzaine d'œufs.
I want to buy a new camera.	Je veux acheter un nouvel appareil photo.
I want to buy my bike back.	Je veux racheter mon vélo.
I want to change the world.	Je veux changer le monde.
I want to date other women.	Je veux sortir avec d'autres femmes.
I want to do that with Tom.	J'ai envie de faire ça avec Tom.
I want to do that with Tom.	J'ai envie de faire cela avec Tom.
I want to do that with Tom.	J'ai envie de le faire avec Tom.
